😀   Grinning Face  
😂   Face with Tears of Joy  
😉   Winking Face  
😍   Heart Eyes  
🔥   Fire  
💥   Collision  
🍺   Beer Mug  
🤪   Zany Face  
🥳   Partying Face  
🤠   Cowboy Hat Face  
😃   Grinning Face with Big Eyes  
😅   Grinning Face with Sweat  
😋   Face with Tongue  
😎   Smiling Face with Sunglasses  
😏   Smirking Face  
😷   Face with Medical Mask  
🧐   Face with Monocle  
🤓   Nerd Face  
😌   Relieved Face  
😐   Neutral Face  
😑   Expressionless Face  
🙄   Face with Rolling Eyes  
😶   Face Without Mouth  
😯   Hushed Face  
😦   Frowning Face with Open Mouth  
😧   Anguished Face  
😨   Fearful Face  
😬   Grimacing Face  
😭   Loudly Crying Face  
😱   Face Screaming in Fear  
😳   Flushed Face  
🤤   Drooling Face  
😴   Sleeping Face  
🤕   Face with Head-Bandage  
🤒   Face with Thermometer  
😵   Dizzy Face  
🤧   Sneezing Face  
😶‍🌫️   Face in Clouds  
💀   Skull  
☠️   Skull and Crossbones  
👻   Ghost  
👽   Alien  
👾   Alien Monster  
🤖   Robot Face  
🎃   Jack-O-Lantern  
😺   Grinning Cat Face  
😸   Grinning Cat Face with Smiling Eyes  
😻   Heart Eyes Cat  
😼   Cat Face with Wry Smile  
😽   Kissing Cat Face with Closed Eyes  
🙀   Weary Cat Face  
😿   Crying Cat Face  
😾   Pouting Cat Face  
💋   Kiss Mark  
💌   Love Letter  
💘   Heart with Arrow  
💝   Heart with Ribbon  
💖   Sparkling Heart  
💗   Growing Heart  
💓   Beating Heart  
💞   Revolving Hearts  
💕   Two Hearts  
💟   Heart Decoration  
❣️   Heavy Heart Exclamation  
❤️   Red Heart  
🧡   Orange Heart  
💛   Yellow Heart  
💚   Green Heart  
💙   Blue Heart  
💜   Purple Heart  
🖤   Black Heart  
🤍   White Heart  
🤎   Brown Heart  
✨   Sparkle  
💻   Laptop  
🖥️   Desktop Computer  
⌚   Smartwatch  
⏰   Alarm Clock  
🕒   Clock Face  
🔵   Blue Circle  
🔴   Red Circle  
🟢   Green Circle  
🟡   Yellow Circle  
🟣   Purple Circle  
🟤   Brown Circle  
⚫   Black Circle  
⚪   White Circle  
🔷   Blue Diamond  
🔶   Orange Diamond  
🟥   Red Square  
🟧   Orange Square  
🟨   Yellow Square  
🟩   Green Square  
🟦   Blue Square  
🟪   Purple Square  
🟫   Brown Square  
😊   Smiling Face  
👨‍💻   Programmer
👩‍💻   Developer
📁   Folder  
📂   Open Folder  
📄   Document  
📃   Page with Curl  
📊   Bar Chart  
📈   Up Graph  
📉   Down Graph  
🔒   Locked  
🔓   Unlocked  
🔑   Key  
🔨   Hammer  
🛠️   Tools  
⚙️   Gear  
💡   Light Bulb  
🧠   Brain  
🚀   Rocket  
🛰️   Satellite  
🌐   Globe  
🧭   Compass  
🗺️   Map  
📌   Pin  
📍   Location Pin  
🖱️   Mouse  
⌨️   Keyboard  
📝   Memo  
✏️   Pencil  
📎   Paperclip  
🔗   Link  
💬   Speech Bubble  
📢   Loudspeaker  
🔊   Volume High  
🔇   Mute  
📶   Signal Strength  
🪫   Low Battery  
🔋   Battery  
💾   Floppy Disk  
📀   CD  
💿   Disc  
📡   Antenna  
🌟   Glowing Star  
⭐   Star  
🌈   Rainbow  
🎉   Party Popper  
🎊   Confetti Ball  
🪟   Window  
⚠️   Warning  
🎮   Game Controller  
👍   Thumbs Up  
👎   Thumbs Down  
🎁   Wrapped Gift  
🎲   Game Die  
🥇   1st Place Medal  
🥈   2nd Place Medal  
🥉   3rd Place Medal  
♟️   Chess Pawn  
♠️   Spade Suit  
♣️   Club Suit  
♥️   Heart Suit  
♦️   Diamond Suit  
🔈   Speaker Low  
🔉   Speaker Medium  
🎵   Musical Note  
🎹   Musical Keyboard  
🧱   Brick  
📦   Package  
🗑️   Trash  
🚽   Toilet  
🌤️   Sun Behind Small Cloud  
🌥️   Sun Behind Large Cloud  
🌦️   Sun Behind Rain Cloud  
🌧️   Cloud with Rain  
🌨️   Cloud with Snow  
🌩️   Cloud with Lightning  
☁️   Cloud  
⛅   Cloudy with Sun  
⛈️   Thunderstorm  
☀️   Sun  
🌡️   Thermometer  
⚡   High Voltage  
❄️   Snowflake  
💤   Sleep Symbol  
🕳️   Hole  
❌   Cross Mark  
❗   Exclamation  
❓   Question  
💯   100 Points  
☢️   Radioactive  
☣️   Biohazard  
♻️   Recycle  
✅   Check Mark  
💲   Dollar Symbol
